    -0.188     -1.019      0.431      0.939     -0.020     -0.350     -0.500      0.913      1.258     -0.500 90578343
     1.149     -1.019      1.106      1.185      0.189     -2.184     -0.500      0.913      1.258     -0.500 96710630
     0.123      1.815      0.192      0.898      0.619      1.066     -0.500      0.561      0.258     -0.500 95578543
    -0.270      2.523     -1.384     -1.066      1.316     -1.517     -0.500      0.012     -0.742     -0.500 99718243
     0.713     -1.019      0.638      1.185     -0.379     -0.517      0.500      0.012      1.258     -0.500 91572990
    -0.409      0.604      0.205      0.694     -0.140      1.650      0.500     -0.444     -1.742     -0.500 99500227
     0.373     -0.083      0.642      0.653     -0.582      1.733      0.500      0.324     -0.242     -0.500 95577363
     0.802      0.927      0.638      0.531     -0.559      1.983     -0.500      0.409     -0.742     -0.500 92575011
     0.418     -0.686     -0.249     -1.288      0.428     -2.434     -0.500     -0.205      1.258      0.500 17608972
     1.149     -0.020     -0.728     -1.451      0.505     -2.767     -0.500     -1.399     -1.242     -0.500 98710296
     1.000     -1.019      1.336      0.538      0.180     -3.184      0.500      0.269      1.258     -0.500 92711265
    -0.797      0.240      0.214      0.653      0.540      1.816     -0.500      0.561      1.758     -0.500 95578417
     1.020     -1.019      1.574      0.939     -1.303      2.900     -0.500     -0.566      0.758     -0.500 91572944
    -1.743      0.303      1.366      1.185     -0.857      2.066      0.500      1.008      1.258     -0.500 91575191
     0.371     -0.717      0.170      1.185     -0.599     -3.517     -0.500      0.341     -0.242     -0.500 91588991
     0.072          *     -0.948     -1.164     -0.482     -0.350     -0.500     -1.622      0.258      0.500 98570429
    -1.504      2.079      1.812      0.694      0.552      1.566     -0.500      0.913     -0.242     -0.500 93570295
    -0.289      0.552      0.205     -0.239     -0.520      2.650     -0.500      0.190      1.258      0.500 94578343
     0.555     -0.030      0.695     -0.492      0.045     -0.017      0.500     -0.236     -1.242     -0.500 95710295
    -0.001     -1.019      0.668      1.185     -0.768     -0.434      0.500      0.561     -0.742      0.500 90714489
     0.123     -0.443     -0.025      1.185      0.956      0.316     -0.500      0.082     -0.742     -0.500 91504925
     0.918     -1.019      0.638      0.939     -1.938      0.816      0.500      0.488      2.258     -0.500 96572998
     0.650     -1.019     -0.046      0.898     -0.865     -1.017      0.500      1.211      1.758     -0.500 91689965
    -0.357     -1.019      1.163     -1.496     -0.941     -1.100     -0.500     -0.268      0.258     -0.500 93579985
     1.149     -1.019     -0.038      1.185     -0.815     -2.100      0.500      0.230      1.258     -0.500 94316653
    -0.462     -0.142     -0.735      0.653      1.785     -1.767      0.500      0.324      0.758     -0.500 92715090
    -0.107      0.191     -0.481      0.939      1.223     -2.767     -0.500     -0.444      0.258      0.500 92712946
     0.445     -1.019      0.430     -4.128      0.393     -0.934     -0.500     -0.994      0.258      0.500 94710194
     0.713      0.282     -1.623      0.407      0.158     -1.100     -0.500     -3.702      0.258     -0.500 99572465
     0.297     -0.009      0.655     -0.002     -1.642      2.316     -0.500      0.753      2.258      0.500 92573437
    -2.421      0.657     -0.258     -1.897     -0.642      0.983     -0.500     -0.268     -0.742      0.500 94578140
     0.713      1.180     -0.021      0.407      1.456     -0.434      0.500      0.561      0.258     -0.500 91578843
    -0.329      0.573     -0.024      1.185     -0.722     -0.434      0.500     -0.268     -0.742     -0.500 99578540
    -0.372     -0.686     -0.709     -2.282     -1.066      0.566     -0.500      0.230      0.258     -0.500 98576282
    -0.871     -0.083      0.894      0.694     -1.149     -0.934      0.500      0.457      2.258     -0.500 99503939
     0.574     -0.717      0.201     -1.180      2.004      2.066     -0.500      0.012      0.258      0.500 96504187
    -1.403     -0.030     -1.852     -0.289     -0.170     -0.517      0.500      0.561     -0.742     -0.500 94719970
     0.114     -0.443      0.629     -0.797      0.065     -2.517      0.500      0.012     -0.742     -0.500 90570029
     1.030     -1.019      1.812     -0.893     -0.512      1.483     -0.500     -0.118      0.758     -0.500 91573958
     1.035     -1.019      0.664     -0.484     -0.488     -1.684     -0.500     -0.444      1.258     -0.500 99573250
     0.123     -0.717      0.430      1.185     -0.430     -2.267      0.500      0.127      1.258     -0.500 91571812
    -0.396     -0.030     -0.273      1.185      0.651     -1.017      0.500      0.287     -0.242     -0.500 94506577
    -0.462      0.303      0.893      1.185      0.384     -0.517      0.500      0.561      1.258     -0.500 93578648
